serial,pod,animal,plant,fan,mix_a,mix_b,mix_c,mix_d,humidity,temperature,voltage
78181,pod_c,bat,peach,low,6,4,37,18,37,hot,5.1
74370,pod_c,bat,peach,low,57,0,6,5,40,hot,5.1
58576,pod_c,bat,peach,high,50,21,29,6,73,hot,5.1
48482,pod_c,bat,peach,coconut,70,58,8,6,41,hot,5.1
19273,pod_c,bat,peach,coconut,50,47,10,12,91,hot,5.1
27117,pod_c,bat,peach,high,46,47,34,14,55,hot,5.1
32230,pod_c,bat,banana,high,74,99,3,9,64,cold,5.1
99132,pod_c,bat,peach,coconut,38,41,42,15,75,hot,5.1
22018,pod_c,bat,peach,low,18,5,20,18,57,hot,5.1
96933,pod_c,bat,peach,high,11,38,26,17,84,hot,5.1
92463,pod_c,bat,peach,high,83,19,36,16,32,hot,5.1
83784,pod_c,bat,peach,low,66,17,13,13,88,hot,5.1
75477,pod_c,bat,peach,high,5,1,11,0,80,hot,5.1
89342,pod_c,bat,peach,coconut,25,62,28,10,32,hot,5.1
11566,pod_c,bat,peach,high,63,69,26,16,91,hot,5.1
54062,pod_c,bat,peach,coconut,9,73,2,15,44,hot,5.1
57162,pod_c,bat,orange,low,98,58,7,13,85,cold,5.1
50770,pod_c,bat,peach,coconut,8,59,37,0,79,hot,5.1
58149,pod_c,bat,peach,high,12,67,10,3,86,hot,5.1
30208,pod_c,bat,peach,high,6,43,29,16,28,cold,5.1
95192,pod_c,bat,peach,low,92,66,9,12,64,hot,5.1
63649,pod_c,bat,peach,coconut,15,41,8,14,55,hot,5.1
27749,pod_c,fly,orange,coconut,34,74,29,15,92,cold,5.1
26200,pod_c,fly,melon,low,52,11,38,0,40,cold,5.1
88981,pod_c,ostrich,orange,low,99,85,44,10,50,cold,5.1
40795,pod_c,swan,apple,low,99,48,22,17,72,cold,5.1
12471,pod_c,walrus,fish,low,38,0,34,20,67,cold,5.1
54996,pod_c,walrus,turnip,medium,80,31,10,18,30,cold,5.1
5993,pod_d,bat,turnip,medium,21,33,18,7,39,cold,3.4
46770,pod_d,beetle,turnip,medium,82,75,28,4,35,cold,3.4
50016,pod_d,beetle,fish,medium,31,60,37,3,71,cold,3.4
38747,pod_d,cat,orange,medium,78,21,27,1,87,cold,3.4
47409,pod_d,dog,apple,medium,66,17,39,14,65,cold,3.4
13014,pod_d,fly,peach,medium,81,8,46,16,52,cold,3.4
70757,pod_d,ostrich,apple,coconut,99,85,44,18,50,cold,3.4
13719,pod_d,ostrich,turnip,high,99,85,44,10,50,cold,3.4
53693,pod_d,swan,melon,medium,73,51,7,11,42,cold,3.4
20097,pod_d,walrus,banana,medium,69,80,25,18,51,hot,3.4
87423,pod_d,aardvark,turnip,medium,25,21,7,13,26,cold,5.1
26772,pod_d,aardvark,turnip,medium,16,68,32,16,28,cold,5.1
49249,pod_d,aardvark,turnip,medium,87,22,20,3,43,cold,5.1
5637,pod_d,aardvark,turnip,medium,76,47,8,17,42,cold,5.1
89578,pod_d,aardvark,turnip,medium,41,45,5,8,31,cold,5.1
62151,pod_d,aardvark,turnip,low,80,76,32,8,42,cold,5.1
80493,pod_d,aardvark,turnip,medium,22,60,20,14,27,cold,5.1
34512,pod_d,aardvark,turnip,medium,64,35,35,3,34,cold,5.1
95394,pod_d,aardvark,turnip,medium,65,50,24,10,26,cold,5.1
66023,pod_d,aardvark,turnip,medium,13,31,30,15,44,cold,5.1
53403,pod_d,aardvark,turnip,medium,40,62,39,15,22,cold,5.1
53856,pod_d,aardvark,turnip,medium,85,38,18,7,26,cold,5.1
91399,pod_d,aardvark,turnip,medium,1,73,23,2,39,cold,5.1
43485,pod_d,bat,turnip,medium,63,66,25,16,23,cold,5.1
2374,pod_d,bat,turnip,medium,68,8,38,14,30,cold,5.1
72400,pod_d,bat,turnip,medium,96,3,24,14,44,cold,5.1
47452,pod_d,bat,turnip,medium,40,13,0,3,40,cold,5.1
69437,pod_d,bat,turnip,high,30,36,28,9,31,cold,5.1
33420,pod_d,bat,turnip,medium,11,23,10,16,41,cold,5.1
52099,pod_d,bat,turnip,medium,2,71,4,0,29,cold,5.1
39907,pod_d,bat,turnip,coconut,14,37,10,2,27,cold,5.1
40166,pod_d,bat,turnip,medium,36,72,13,2,21,cold,5.1
65081,pod_d,bat,turnip,medium,69,6,19,15,20,cold,5.1
94684,pod_d,bat,turnip,medium,32,80,3,17,34,cold,5.1
72217,pod_d,bat,turnip,medium,83,4,39,2,35,cold,5.1
45220,pod_d,beetle,turnip,medium,79,79,8,3,40,hot,5.1
99439,pod_d,beetle,turnip,medium,16,70,14,14,22,cold,5.1
96173,pod_d,beetle,turnip,medium,3,64,39,10,37,cold,5.1
69815,pod_d,beetle,turnip,medium,24,22,23,7,44,cold,5.1
63901,pod_d,beetle,turnip,medium,35,64,29,16,21,cold,5.1
12586,pod_d,beetle,turnip,medium,34,68,15,11,44,cold,5.1
78217,pod_d,beetle,turnip,coconut,47,11,21,13,34,cold,5.1
92645,pod_d,beetle,turnip,medium,17,83,16,3,24,cold,5.1
68494,pod_d,beetle,turnip,medium,25,3,15,12,44,cold,5.1
81425,pod_d,beetle,peach,medium,9,30,35,3,99,cold,5.1
14442,pod_d,cat,turnip,medium,10,21,10,0,38,cold,5.1
60408,pod_d,cat,turnip,medium,97,55,30,10,39,cold,5.1
21666,pod_d,cat,turnip,medium,10,16,30,0,30,cold,5.1
17147,pod_d,cat,turnip,medium,18,14,17,14,35,cold,5.1
25792,pod_d,cat,turnip,medium,93,78,24,15,42,cold,5.1
65860,pod_d,cat,turnip,low,97,15,1,4,40,cold,5.1
41758,pod_d,cat,turnip,medium,18,76,29,6,39,cold,5.1
40541,pod_d,cat,turnip,medium,12,61,19,16,21,cold,5.1
43260,pod_d,cat,turnip,high,90,22,14,1,36,cold,5.1
43090,pod_d,cat,turnip,medium,31,46,23,0,28,cold,5.1
1606,pod_d,cat,turnip,medium,70,23,15,14,34,cold,5.1
83922,pod_d,cat,turnip,medium,76,61,32,2,44,cold,5.1
8660,pod_d,dog,turnip,coconut,0,4,36,18,26,cold,5.1
85646,pod_d,dog,turnip,medium,53,0,18,11,39,cold,5.1
14734,pod_d,dog,turnip,medium,29,10,10,9,31,cold,5.1
68805,pod_d,dog,turnip,medium,83,40,39,13,38,cold,5.1
92782,pod_d,dog,turnip,medium,49,14,4,14,28,cold,5.1
41481,pod_d,dog,turnip,medium,51,73,12,0,35,cold,5.1
20550,pod_d,dog,turnip,medium,76,1,28,1,34,cold,5.1
47495,pod_d,dog,turnip,medium,7,79,10,16,22,cold,5.1
10111,pod_d,dog,turnip,medium,61,78,20,12,39,cold,5.1
21666,pod_d,dog,turnip,medium,36,8,15,12,43,cold,5.1
79941,pod_d,dog,turnip,medium,55,26,8,9,23,cold,5.1
35083,pod_d,fly,turnip,medium,89,43,44,12,43,cold,5.1
46197,pod_d,fly,turnip,medium,59,78,41,4,33,cold,5.1
63348,pod_d,fly,turnip,medium,46,50,43,8,33,cold,5.1
53648,pod_d,fly,turnip,medium,8,75,49,14,42,cold,5.1
82654,pod_d,fly,turnip,medium,65,35,45,3,32,cold,5.1
59927,pod_d,fly,turnip,high,47,29,41,14,26,cold,5.1
1749,pod_d,fly,turnip,medium,2,11,48,10,31,cold,5.1
79705,pod_d,fly,turnip,medium,10,18,40,18,44,cold,5.1
1265,pod_d,fly,turnip,low,58,59,48,14,43,hot,5.1
70000,pod_d,fly,turnip,medium,55,21,41,2,34,cold,5.1
66243,pod_d,fly,turnip,medium,34,72,43,16,44,cold,5.1
5807,pod_d,fly,turnip,medium,46,82,39,11,42,cold,5.1
86536,pod_d,swan,turnip,medium,95,60,23,9,37,cold,5.1
10738,pod_d,swan,turnip,medium,77,73,19,4,21,cold,5.1
85078,pod_d,swan,turnip,medium,88,68,5,6,35,cold,5.1
77118,pod_d,swan,turnip,medium,97,20,8,0,25,cold,5.1
29442,pod_d,swan,turnip,medium,92,79,4,11,30,cold,5.1
11168,pod_d,swan,turnip,medium,76,80,31,5,28,cold,5.1
85895,pod_d,swan,turnip,low,81,14,38,16,43,cold,5.1
45126,pod_d,swan,turnip,medium,98,49,3,16,32,cold,5.1
31997,pod_d,swan,turnip,medium,82,2,18,7,31,cold,5.1
17384,pod_d,swan,turnip,medium,96,54,19,0,40,cold,5.1
34506,pod_d,swan,turnip,medium,85,77,15,5,25,cold,5.1
57489,pod_d,walrus,turnip,medium,25,74,31,19,37,cold,5.1
1042,pod_d,walrus,turnip,medium,33,58,11,19,40,cold,5.1
