serial,pod,animal,plant,fan,mix_a,mix_b,mix_c,mix_d,humidity,temperature,voltage
8432,pod_a,beetle,fish,coconut,21,20,9,4,91,hot,3.4
8451,pod_d,cat,turnip,medium,66,54,11,14,68,cold,5.1
8935,pod_a,beetle,melon,coconut,98,37,3,8,40,hot,3.4
9002,pod_d,cat,turnip,medium,64,16,42,13,21,cold,5.1
9199,pod_e,aardvark,melon,medium,66,41,0,1,54,cold,5.1
9292,pod_c,bat,peach,low,12,10,4,14,85,hot,5.1
9582,pod_a,beetle,turnip,medium,22,81,36,9,30,hot,3.4
10244,pod_b,fly,apple,low,64,66,5,8,72,cold,5.1
10271,Pod_0,beetle,banana,medium,54,95,40,3,61,hot,3.4
10902,pod_b,beetle,orange,low,15,53,12,13,74,hot,3.4
11364,pod_d,cat,turnip,low,14,4,4,8,46,cold,5.1
11396,pod_a,beetle,fish,coconut,16,42,20,9,35,hot,3.4
11448,pod_c,bat,peach,low,66,79,17,9,87,hot,5.1
11462,pod_a,beetle,melon,medium,37,45,22,4,84,hot,3.4
11854,pod_a,beetle,peach,low,98,41,21,1,79,hot,3.4
12061,Pod_0,cat,melon,high,7,37,20,4,41,cold,3.4
12195,pod_c,bat,peach,low,27,32,29,9,86,hot,5.1
12633,pod_d,aardvark,turnip,medium,49,51,16,12,35,cold,5.1
13250,pod_b,beetle,melon,low,90,43,0,10,61,hot,3.4
13360,pod_b,dog,orange,low,65,48,20,17,82,hot,3.4
13367,pod_b,aardvark,orange,low,99,39,19,7,97,hot,3.4
13629,pod_e,aardvark,melon,medium,93,83,1,15,82,cold,5.1
13768,pod_b,walrus,apple,low,40,20,23,19,57,hot,3.4
13778,pod_d,beetle,turnip,medium,66,26,27,13,36,hot,5.1
14239,pod_c,bat,peach,coconut,37,72,35,14,79,hot,3.4
14425,pod_b,beetle,banana,low,9,83,19,7,90,hot,3.4
14524,pod_c,bat,peach,low,48,59,35,13,32,hot,3.4
14525,Pod_0,swan,peach,low,82,63,38,11,95,hot,3.4
15213,pod_d,dog,apple,medium,92,22,11,12,57,cold,3.4
15379,pod_d,fly,turnip,medium,84,69,50,18,71,cold,5.1
15545,pod_d,beetle,turnip,medium,69,30,13,4,49,cold,5.1
15591,pod_b,aardvark,orange,high,41,20,23,8,93,hot,5.1
15626,pod_e,aardvark,melon,medium,35,25,17,2,68,hot,5.1
15785,pod_d,walrus,turnip,medium,50,56,27,17,31,cold,5.1
16326,pod_d,walrus,turnip,medium,56,38,22,20,22,cold,5.1
16386,pod_a,beetle,melon,coconut,99,67,5,13,77,hot,3.4
16402,pod_e,aardvark,melon,medium,16,69,30,13,85,hot,5.1
16648,pod_b,bat,turnip,low,41,39,33,10,81,cold,3.4
16848,pod_e,aardvark,melon,medium,38,79,18,4,66,cold,5.1
17063,pod_d,cat,turnip,medium,65,15,3,11,65,cold,5.1
17330,pod_a,beetle,peach,coconut,32,68,7,4,71,hot,3.4
17361,pod_c,bat,peach,high,94,39,3,18,88,hot,3.4
17704,pod_e,aardvark,orange,medium,4,83,0,8,96,hot,5.1
17793,pod_b,walrus,orange,low,61,9,36,19,61,cold,3.4
17831,pod_d,fly,turnip,high,24,9,39,7,70,cold,5.1
18284,pod_c,bat,turnip,high,76,77,35,13,84,cold,5.1
18323,pod_a,beetle,peach,high,41,56,8,1,87,hot,3.4
18486,pod_a,beetle,peach,coconut,89,26,2,5,57,hot,3.4
18630,pod_e,aardvark,melon,medium,72,32,12,9,41,hot,5.1
19544,pod_b,beetle,orange,low,97,75,25,2,82,hot,3.4
19746,pod_a,beetle,fish,coconut,20,9,1,1,44,hot,3.4
20140,pod_c,bat,peach,high,93,35,0,18,91,cold,5.1
20148,pod_b,swan,orange,medium,74,37,38,10,96,cold,3.4
20262,pod_a,fly,fish,low,42,33,3,7,36,cold,3.4
20269,pod_b,swan,orange,high,83,3,21,17,75,cold,3.4
20287,pod_e,aardvark,melon,medium,22,19,29,11,87,hot,5.1
20678,pod_b,fly,orange,low,37,53,16,2,96,hot,5.1
20972,pod_e,aardvark,melon,medium,43,40,33,6,46,cold,5.1
21200,pod_b,aardvark,orange,high,94,7,10,7,98,cold,5.1
21307,pod_a,beetle,melon,medium,2,21,28,17,42,hot,3.4
21338,pod_a,dog,banana,medium,40,89,35,14,61,hot,5.1
21583,pod_e,aardvark,melon,medium,91,10,1,1,41,cold,5.1
21786,pod_d,dog,turnip,medium,41,2,20,9,58,cold,5.1
21820,pod_b,cat,melon,low,17,2,41,3,71,hot,3.4
22348,pod_e,aardvark,melon,medium,78,62,26,16,46,hot,5.1
22675,pod_b,bat,orange,medium,6,59,41,13,99,cold,5.1
22760,pod_d,aardvark,turnip,medium,17,53,17,17,65,cold,5.1
22879,pod_b,beetle,orange,low,11,44,25,3,89,hot,3.4
22904,pod_d,dog,turnip,medium,4,28,19,2,33,cold,5.1
23283,pod_d,cat,turnip,medium,56,47,22,2,51,cold,5.1
23308,pod_a,cat,banana,medium,60,81,18,15,39,cold,5.1
23310,pod_d,walrus,banana,medium,12,80,27,19,69,hot,3.4
23315,pod_e,walrus,fish,coconut,90,26,7,19,88,cold,3.4
23326,pod_b,swan,orange,low,95,57,1,3,94,hot,5.1
23507,pod_b,bat,orange,high,80,9,33,1,84,hot,5.1
23559,pod_d,beetle,peach,medium,12,17,6,5,85,cold,5.1
23681,pod_a,beetle,orange,high,45,61,16,11,84,hot,3.4
23759,pod_d,bat,turnip,medium,41,1,42,8,62,cold,3.4
23775,pod_b,cat,orange,coconut,7,38,3,13,69,hot,3.4
24057,pod_e,aardvark,melon,medium,75,48,29,8,81,cold,3.4
24160,pod_c,bat,apple,medium,39,49,26,17,44,cold,3.4
24174,pod_a,beetle,peach,high,80,13,24,3,77,hot,3.4
24190,pod_e,aardvark,melon,medium,19,76,30,18,62,hot,5.1
24211,pod_a,aardvark,turnip,coconut,67,33,31,18,33,hot,5.1
24235,pod_c,bat,peach,coconut,60,69,35,11,69,cold,3.4
24648,pod_e,aardvark,melon,medium,60,24,36,16,48,hot,5.1
24714,pod_d,swan,turnip,medium,72,23,14,9,36,cold,5.1
24760,pod_c,bat,peach,low,83,28,34,7,52,hot,5.1
25126,pod_b,dog,orange,low,30,39,21,7,94,cold,3.4
25189,pod_d,cat,turnip,medium,75,10,19,18,45,cold,5.1
25271,pod_c,bat,peach,low,58,81,0,18,38,hot,5.1
25478,pod_a,fly,fish,low,82,55,26,17,60,hot,5.1
25503,pod_b,walrus,orange,low,63,67,12,19,87,hot,3.4
25701,pod_d,dog,turnip,medium,18,43,18,5,44,cold,5.1
25807,pod_e,aardvark,melon,medium,36,25,9,16,34,hot,5.1
25975,pod_a,beetle,orange,high,76,63,28,9,91,hot,3.4
26020,pod_a,beetle,banana,medium,37,86,26,11,40,hot,3.4
26654,pod_d,aardvark,turnip,low,23,35,13,1,73,cold,5.1
27151,pod_b,beetle,orange,low,37,61,4,18,76,hot,3.4
27321,pod_b,bat,orange,low,64,40,15,18,81,cold,3.4
27406,pod_b,walrus,melon,low,92,40,14,19,46,cold,3.4
27906,pod_e,fly,fish,low,32,37,21,10,30,cold,3.4
28300,pod_e,aardvark,melon,medium,45,24,20,1,46,cold,5.1
28400,pod_d,walrus,turnip,medium,93,48,37,18,66,cold,5.1
29085,pod_a,aardvark,peach,high,61,35,26,1,90,cold,5.1
29534,pod_e,aardvark,melon,medium,39,80,8,10,63,cold,5.1
29662,pod_a,beetle,apple,coconut,30,0,30,13,62,hot,3.4
29706,pod_e,aardvark,melon,medium,87,59,6,2,72,cold,5.1
29952,pod_b,beetle,orange,low,81,54,5,3,80,hot,3.4
30277,pod_e,aardvark,melon,medium,47,80,24,0,63,cold,5.1
30299,pod_e,aardvark,melon,medium,47,36,19,1,87,cold,5.1
30307,pod_e,aardvark,melon,medium,2,66,30,13,61,hot,5.1
30331,pod_c,bat,banana,high,6,90,17,18,67,cold,5.1
30700,pod_b,cat,orange,low,34,25,15,17,89,cold,3.4
30739,pod_b,aardvark,orange,low,27,19,23,15,72,cold,3.4
31205,pod_c,bat,peach,coconut,82,20,4,2,51,hot,5.1
31372,pod_c,bat,peach,high,84,54,33,6,88,cold,5.1
31719,pod_a,bat,melon,medium,67,29,7,2,37,hot,3.4
31779,pod_b,bat,orange,medium,53,36,32,15,97,hot,3.4
31990,pod_d,beetle,turnip,medium,67,57,27,2,46,cold,5.1
32184,pod_e,aardvark,melon,medium,9,80,41,11,86,cold,3.4
32268,pod_e,aardvark,melon,medium,75,75,13,7,84,hot,3.4
32762,pod_c,bat,peach,high,3,55,17,11,44,hot,3.4
32963,pod_d,walrus,turnip,medium,90,55,32,19,46,cold,5.1
33340,pod_b,beetle,orange,low,7,65,27,1,86,hot,3.4
33587,pod_e,fly,banana,high,35,88,18,11,90,hot,3.4
33918,pod_d,fly,peach,medium,17,72,47,4,54,cold,3.4
34019,pod_d,fly,turnip,medium,4,22,46,13,42,cold,5.1
34442,pod_a,beetle,melon,medium,99,55,4,11,54,hot,3.4
34594,pod_e,aardvark,turnip,medium,65,49,29,18,28,cold,5.1
34785,pod_b,beetle,orange,low,66,2,27,5,88,hot,3.4
35062,pod_e,aardvark,melon,medium,90,53,33,2,40,hot,5.1
35145,pod_a,aardvark,peach,low,28,38,13,0,89,hot,3.4
35375,Pod_0,dog,orange,medium,63,1,10,1,73,hot,3.4
35416,pod_c,bat,peach,coconut,41,29,25,1,48,hot,5.1
35680,pod_a,ostrich,apple,low,98,82,40,14,50,hot,5.1
35713,pod_d,beetle,turnip,medium,91,6,32,10,68,cold,5.1
35767,pod_d,aardvark,turnip,medium,98,13,30,15,40,cold,5.1
36013,pod_b,swan,orange,coconut,93,34,9,7,84,cold,5.1
36301,pod_c,bat,peach,high,92,14,2,11,32,hot,5.1
36640,pod_a,aardvark,peach,high,78,63,6,1,28,cold,3.4
36652,pod_b,aardvark,orange,low,64,80,37,18,95,cold,5.1
36770,pod_a,fly,melon,medium,11,30,10,5,43,hot,5.1
36924,pod_c,bat,peach,high,9,23,16,15,63,hot,5.1
36961,pod_b,walrus,orange,low,40,83,1,19,72,cold,5.1
36974,pod_c,beetle,orange,coconut,77,73,26,2,69,cold,3.4
37046,pod_d,cat,turnip,medium,18,54,29,6,32,cold,5.1
37840,pod_a,dog,apple,low,96,59,8,12,69,hot,3.4
37856,pod_b,walrus,orange,low,8,34,11,19,85,hot,5.1
38450,pod_c,bat,peach,high,71,71,40,2,89,hot,5.1
38964,pod_e,aardvark,melon,low,66,81,22,1,55,cold,3.4
39076,pod_a,beetle,turnip,coconut,20,7,31,2,68,hot,3.4
39223,pod_b,fly,orange,low,3,36,16,18,85,cold,5.1
39281,pod_a,beetle,orange,coconut,63,12,30,7,93,hot,3.4
39344,pod_c,bat,peach,low,37,38,6,2,38,hot,3.4
39866,pod_b,beetle,turnip,low,9,65,33,4,79,hot,3.4
40678,pod_a,bat,melon,medium,74,62,2,14,77,cold,5.1
41437,pod_e,aardvark,melon,medium,84,39,31,8,46,hot,5.1
41483,pod_c,bat,peach,coconut,77,65,6,2,33,hot,3.4
41625,pod_c,bat,peach,coconut,54,65,30,14,81,hot,5.1
41666,pod_b,swan,orange,low,70,11,35,7,63,hot,3.4
41962,pod_c,fly,melon,low,98,40,13,11,32,cold,5.1
42173,pod_d,aardvark,turnip,medium,37,41,15,9,67,cold,5.1
42393,pod_c,bat,peach,high,40,11,15,0,60,hot,5.1
42407,pod_d,bat,turnip,medium,33,47,31,4,21,cold,5.1
42451,pod_b,swan,orange,coconut,95,49,11,8,78,cold,5.1
42777,pod_a,beetle,fish,coconut,58,50,40,2,66,hot,3.4
43569,pod_e,aardvark,melon,medium,76,23,4,9,56,cold,5.1
43627,pod_e,aardvark,melon,medium,90,37,11,15,37,hot,3.4
43923,pod_e,aardvark,melon,medium,72,55,31,18,33,cold,5.1
44055,pod_d,walrus,turnip,medium,62,29,14,18,40,cold,5.1
44327,pod_e,aardvark,melon,medium,66,66,2,0,74,cold,3.4
44479,pod_b,walrus,melon,low,82,58,22,18,86,cold,5.1
44523,pod_e,aardvark,melon,medium,22,7,18,15,55,hot,5.1
44665,pod_c,fly,orange,coconut,3,35,41,12,81,cold,5.1
44753,pod_e,aardvark,melon,medium,17,51,38,4,85,hot,5.1
45391,pod_a,beetle,apple,low,3,9,6,5,62,hot,3.4
45494,pod_d,dog,turnip,medium,59,31,22,3,67,cold,5.1
45804,pod_b,aardvark,banana,low,69,83,19,9,42,hot,5.1
46257,pod_c,bat,fish,high,3,54,15,3,74,cold,3.4
46353,pod_a,cat,orange,low,96,75,21,10,76,cold,3.4
46534,pod_b,dog,orange,coconut,10,17,38,11,94,hot,3.4
46603,pod_c,bat,peach,high,29,7,26,2,44,hot,5.1
46619,pod_b,dog,orange,low,89,31,12,9,80,cold,3.4
46725,pod_a,beetle,melon,coconut,72,63,13,1,27,hot,3.4
46757,pod_b,cat,orange,low,4,45,11,16,85,cold,5.1
46948,pod_c,bat,peach,low,43,65,21,6,67,hot,3.4
47145,pod_c,aardvark,peach,medium,4,55,6,11,69,cold,5.1
47486,pod_d,bat,turnip,coconut,73,74,1,3,50,cold,5.1
47913,pod_b,fly,orange,low,93,35,13,5,94,cold,3.4
47947,pod_d,bat,turnip,medium,3,73,8,4,47,cold,5.1
48071,pod_c,bat,peach,coconut,9,48,14,14,60,hot,3.4
48185,pod_a,beetle,turnip,coconut,15,53,28,5,39,hot,3.4
48200,pod_b,fly,orange,low,89,18,18,9,75,hot,3.4
48228,pod_e,aardvark,melon,medium,55,11,36,14,43,hot,3.4
48334,pod_c,bat,peach,coconut,40,82,19,14,58,hot,5.1
48465,pod_b,aardvark,orange,coconut,56,25,41,9,80,cold,3.4
49178,pod_e,aardvark,melon,medium,82,14,37,17,88,cold,5.1
49262,pod_c,bat,peach,coconut,71,3,9,5,88,hot,3.4
49445,pod_d,swan,turnip,medium,94,47,12,0,74,cold,5.1
49604,pod_d,fly,turnip,low,71,39,41,8,63,hot,5.1
49667,pod_b,swan,turnip,low,69,70,21,2,70,cold,5.1
49672,pod_c,bat,peach,coconut,99,71,32,14,71,hot,3.4
49766,pod_d,swan,turnip,medium,74,42,6,15,71,cold,5.1
49932,pod_c,dog,banana,medium,33,88,31,5,78,cold,3.4
49995,pod_c,bat,peach,high,3,83,9,8,80,hot,3.4
50541,pod_e,aardvark,melon,medium,1,54,32,4,34,hot,5.1
50654,pod_d,bat,turnip,medium,36,17,35,4,76,cold,5.1
51099,pod_a,beetle,fish,high,59,16,29,2,30,hot,3.4
51357,pod_b,aardvark,melon,low,19,23,29,1,37,cold,5.1
51512,pod_c,bat,peach,coconut,45,81,34,0,88,hot,3.4
52044,pod_e,aardvark,melon,medium,69,76,0,6,61,hot,5.1
52133,pod_e,aardvark,melon,medium,89,2,6,8,39,cold,5.1
52161,pod_d,aardvark,turnip,medium,29,59,21,9,66,cold,5.1
52163,pod_c,swan,apple,low,91,32,18,15,38,cold,5.1
52182,pod_b,aardvark,orange,high,20,83,28,3,87,hot,3.4
52251,pod_e,swan,orange,low,94,23,1,15,88,hot,5.1
52762,pod_b,ostrich,melon,coconut,99,85,44,13,50,hot,3.4
53103,pod_e,aardvark,melon,medium,24,2,33,9,78,cold,5.1
53318,pod_d,aardvark,turnip,medium,97,2,32,10,40,cold,5.1
53359,pod_c,bat,orange,low,20,45,12,17,66,cold,5.1
53437,pod_c,bat,peach,high,83,0,17,3,85,hot,3.4
53678,pod_a,beetle,melon,medium,93,23,8,16,38,hot,3.4
53691,pod_b,fly,orange,low,63,17,20,15,76,cold,3.4
53860,pod_b,bat,orange,low,65,56,37,16,63,cold,3.4
54263,pod_d,swan,melon,medium,99,25,10,14,78,cold,3.4
54577,pod_a,beetle,apple,coconut,13,23,4,3,44,hot,3.4
54651,pod_c,ostrich,peach,medium,99,85,44,16,50,hot,3.4
54829,pod_e,dog,melon,coconut,34,1,2,13,85,cold,3.4
55034,pod_c,bat,peach,low,9,30,42,8,91,hot,3.4
55058,pod_d,aardvark,turnip,medium,78,68,0,16,58,cold,5.1
55203,pod_a,beetle,turnip,medium,4,38,16,15,31,hot,3.4
55207,pod_a,beetle,orange,high,75,51,0,5,86,hot,3.4
55383,pod_a,walrus,orange,high,16,59,27,20,86,hot,3.4
55604,pod_a,beetle,orange,low,36,26,34,2,77,hot,3.4
55811,pod_a,beetle,apple,coconut,39,38,36,10,56,hot,3.4
55833,pod_a,swan,apple,high,98,79,40,16,43,cold,3.4
55907,pod_d,dog,turnip,medium,95,7,3,10,48,cold,5.1
55940,pod_c,bat,peach,coconut,56,18,8,0,66,hot,3.4
56021,pod_d,bat,turnip,medium,86,64,13,13,55,cold,5.1
56282,pod_b,fly,orange,medium,95,76,2,1,78,hot,5.1
56409,pod_a,beetle,banana,medium,8,97,41,9,27,hot,3.4
56602,pod_c,bat,peach,coconut,7,28,33,16,87,hot,5.1
56782,pod_c,bat,peach,coconut,64,2,25,18,83,hot,5.1
56889,pod_e,aardvark,fish,medium,7,55,38,14,70,cold,5.1
56929,pod_c,bat,peach,low,28,58,35,8,90,hot,5.1
57021,pod_d,fly,turnip,medium,12,68,47,16,65,cold,5.1
57446,pod_b,fly,peach,low,12,8,40,3,62,hot,3.4
57448,pod_e,aardvark,melon,medium,14,8,6,3,89,cold,5.1
57526,pod_c,bat,apple,coconut,10,73,3,9,41,cold,3.4
57638,pod_d,fly,turnip,medium,15,39,49,17,62,cold,5.1
58135,pod_d,aardvark,turnip,medium,53,42,32,13,64,cold,5.1
58717,pod_e,cat,melon,high,57,62,28,17,84,cold,5.1
58764,pod_d,walrus,turnip,medium,61,54,22,19,67,cold,5.1
58906,pod_e,cat,fish,coconut,78,39,27,0,60,hot,5.1
58911,pod_b,bat,orange,low,29,44,17,8,72,cold,5.1
59190,pod_a,dog,banana,coconut,90,98,6,15,73,cold,5.1
59704,pod_c,bat,peach,high,67,49,28,2,84,hot,5.1
59792,pod_a,dog,banana,coconut,90,89,8,15,84,cold,3.4
59962,Pod_0,aardvark,apple,low,74,52,22,11,71,cold,3.4
60053,pod_b,bat,banana,low,20,82,5,12,38,hot,5.1
60480,pod_a,beetle,banana,medium,47,81,42,14,28,hot,3.4
60718,pod_d,walrus,turnip,medium,46,59,5,17,30,cold,5.1
60897,pod_d,fly,turnip,medium,69,38,49,3,75,cold,5.1
61233,pod_e,bat,turnip,high,71,72,30,4,29,cold,3.4
61382,pod_a,beetle,melon,medium,25,26,11,3,51,hot,3.4
61711,pod_b,ostrich,fish,high,99,85,44,16,50,hot,5.1
62026,pod_b,dog,orange,low,87,20,13,13,82,cold,5.1
62573,pod_c,bat,peach,low,97,60,15,4,52,hot,3.4
62660,pod_d,dog,turnip,medium,45,68,37,1,56,cold,5.1
62765,pod_b,bat,orange,low,41,35,24,1,76,hot,3.4
63090,pod_e,aardvark,melon,medium,14,33,2,5,47,hot,5.1
63360,Pod_0,fly,fish,high,25,55,9,14,84,cold,3.4
63367,pod_e,aardvark,melon,medium,60,4,33,0,35,hot,5.1
63417,pod_e,aardvark,melon,medium,53,25,15,10,53,hot,5.1
63525,pod_c,walrus,fish,low,95,80,34,18,58,cold,5.1
63553,pod_e,aardvark,peach,medium,11,73,31,6,57,hot,5.1
63688,pod_b,aardvark,orange,low,21,42,36,18,69,hot,3.4
63813,pod_d,swan,turnip,medium,78,83,39,18,21,cold,5.1
64252,pod_c,bat,peach,high,46,26,39,7,89,hot,3.4
64283,pod_b,swan,orange,low,87,17,13,7,88,cold,3.4
64495,pod_e,walrus,melon,high,39,48,38,20,60,cold,5.1
64557,pod_c,bat,peach,coconut,5,83,19,16,56,hot,3.4
64619,pod_b,dog,orange,high,49,28,6,2,72,cold,3.4
64906,pod_d,aardvark,turnip,medium,93,72,35,6,41,cold,5.1
64953,pod_a,beetle,apple,coconut,43,60,42,9,80,hot,3.4
65028,pod_d,bat,turnip,high,25,20,41,5,44,cold,5.1
65173,pod_b,dog,orange,high,20,57,35,8,85,hot,5.1
65897,pod_b,dog,orange,coconut,35,59,21,6,89,hot,5.1
66061,pod_b,swan,orange,medium,86,50,12,1,91,cold,5.1
66218,pod_b,aardvark,apple,low,83,46,19,6,56,hot,3.4
66242,pod_e,aardvark,banana,medium,5,82,15,2,39,hot,5.1
66318,pod_b,walrus,orange,medium,12,11,6,17,95,cold,5.1
66495,pod_a,beetle,peach,high,10,23,39,9,50,hot,3.4
67197,pod_b,dog,orange,low,87,67,24,13,78,hot,5.1
67500,pod_d,beetle,turnip,medium,86,42,21,15,45,cold,5.1
67614,pod_b,dog,fish,low,88,42,28,3,62,hot,3.4
67693,pod_b,cat,fish,low,6,35,0,8,46,cold,5.1
67965,pod_d,fly,turnip,medium,74,33,50,9,65,cold,5.1
68060,pod_a,beetle,banana,coconut,48,98,37,14,91,hot,3.4
68071,pod_d,beetle,turnip,coconut,24,52,30,3,29,cold,5.1
68241,pod_d,cat,turnip,high,6,0,8,9,35,cold,5.1
68439,pod_d,aardvark,turnip,medium,92,63,2,13,21,cold,5.1
68456,pod_c,bat,peach,high,35,73,15,4,44,hot,5.1
68513,pod_d,swan,turnip,medium,77,53,18,15,72,cold,5.1
68619,pod_d,fly,turnip,medium,6,54,44,9,62,cold,5.1
68696,pod_d,beetle,turnip,medium,8,19,28,0,49,cold,5.1
68776,pod_e,aardvark,apple,low,47,15,3,15,88,cold,3.4
68796,pod_b,dog,melon,low,8,15,42,5,89,cold,5.1
68880,pod_d,bat,turnip,medium,73,43,4,11,29,cold,5.1
68881,pod_b,bat,melon,low,43,38,17,12,32,cold,5.1
69063,pod_a,bat,fish,high,8,22,14,0,43,hot,5.1
69125,pod_c,cat,fish,low,97,56,39,9,85,cold,3.4
69683,pod_b,fly,turnip,low,68,79,3,3,62,cold,5.1
70038,pod_c,bat,peach,low,8,12,40,11,83,hot,5.1
70359,pod_e,aardvark,melon,coconut,38,54,4,18,85,hot,3.4
70576,pod_c,bat,orange,high,58,9,33,2,86,cold,3.4
70614,pod_a,ostrich,banana,medium,99,85,44,7,50,hot,5.1
70622,pod_b,swan,peach,low,92,12,1,3,35,hot,3.4
70658,pod_d,ostrich,apple,coconut,99,85,44,5,50,cold,3.4
71042,pod_e,aardvark,melon,medium,25,15,24,3,44,hot,5.1
71116,pod_c,bat,peach,coconut,41,45,10,4,63,hot,5.1
71245,pod_d,walrus,turnip,medium,3,24,18,20,46,cold,5.1
71508,pod_e,swan,melon,low,77,75,18,12,45,cold,5.1
71619,pod_c,bat,peach,coconut,16,3,10,14,51,hot,3.4
71706,pod_c,bat,turnip,medium,27,80,20,17,47,cold,5.1
71787,pod_e,aardvark,melon,medium,16,10,16,17,51,cold,5.1
72012,pod_a,cat,orange,low,64,21,33,7,66,cold,5.1
72056,pod_c,bat,peach,coconut,47,37,41,6,77,hot,5.1
72409,pod_d,ostrich,turnip,high,99,85,44,13,50,cold,3.4
72493,pod_a,beetle,peach,coconut,4,77,33,5,80,hot,3.4
72573,pod_c,bat,peach,low,38,6,40,1,64,hot,3.4
72917,pod_c,bat,peach,low,18,6,11,17,91,hot,3.4
73007,pod_b,cat,orange,low,81,66,29,16,67,hot,5.1
73549,pod_a,cat,orange,high,22,26,39,17,66,hot,5.1
73645,pod_d,beetle,turnip,medium,48,22,34,14,29,cold,5.1
73789,pod_d,bat,turnip,medium,18,31,22,14,27,cold,5.1
73967,pod_d,dog,turnip,medium,62,64,27,15,72,cold,5.1
74201,pod_e,aardvark,melon,medium,3,70,22,16,85,cold,5.1
75805,pod_a,beetle,turnip,coconut,71,57,31,15,37,hot,3.4
76043,pod_e,aardvark,melon,medium,22,45,32,1,56,cold,5.1
76121,pod_e,aardvark,melon,medium,51,55,27,10,86,cold,5.1
76139,pod_c,bat,peach,low,62,77,3,14,50,hot,3.4
76440,pod_c,bat,peach,coconut,24,82,3,7,87,hot,3.4
76521,pod_e,aardvark,melon,medium,30,60,35,15,33,cold,3.4
76638,pod_c,bat,peach,low,33,18,21,8,35,hot,5.1
76944,pod_b,swan,melon,low,79,29,5,6,68,cold,3.4
77066,pod_a,beetle,turnip,medium,36,49,10,1,41,hot,3.4
77705,pod_a,beetle,banana,coconut,86,97,6,7,68,hot,3.4
77792,pod_e,aardvark,melon,medium,49,1,16,8,62,hot,5.1
77916,pod_a,bat,melon,medium,11,14,15,12,39,cold,3.4
78029,pod_a,swan,apple,high,74,63,15,13,83,cold,5.1
78236,pod_b,aardvark,orange,low,55,24,22,6,63,hot,5.1
78277,pod_d,bat,turnip,medium,24,52,10,16,42,cold,5.1
78294,pod_b,fly,banana,low,27,94,30,15,52,hot,3.4
78569,pod_e,aardvark,melon,medium,83,70,33,16,75,hot,3.4
